name,iso,population_size,vaccine_hesitant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Turkey,TR,83429607,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Turkmenistan,TM,5942094,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Uganda,UG,44269587,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Ukraine,UA,43993643,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
United Arab Emirates (the),AE,9770526,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
United Kingdom of Great Britain and Northern Ireland (the),GB,67530161,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
United States of America (the),US,329064917,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Uruguay,UY,3461731,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Uzbekistan,UZ,32981715,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Vanuatu,VU,299882,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Venezuela (Bolivarian Republic of),VE,28515829,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Viet Nam,VN,96462108,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Virgin Islands (U.S.),VI,104579,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Western Sahara,EH,582458,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Yemen,YE,29161922,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
Zambia,ZM,17861034,0,0.017641862,0.017621558,0.017582571,0.017526349,0.017448179,0.017368559,0.017275035,0.017169633,0.017053279,0.016930269,0.01680439,0.016663574,0.016503673,0.01633441,0.016168549,0.016002903,0.015861845,0.01575855,0.015683494,0.015613741,0.015554932,0.015505722,0.015463812,0.015431555,0.015396288,0.015339146,0.015350419,0.015467229,0.01563482,0.015779867,0.015937238,0.01593455,0.015685964,0.015276656,0.014884701,0.014481306,0.014104357,0.013792867,0.013530283,0.013249328,0.012949591,0.012733929,0.012642507,0.012629368,0.01260703,0.012591952,0.012537408,0.012410417,0.012231566,0.012056107,0.011877452,0.011661264,0.011397277,0.011097943,0.010790647,0.010474745,0.010144825,0.009802485,0.009453927,0.009095006,0.008715506,0.008385627,0.008135056,0.007929494,0.007711906,0.007504999,0.007222511,0.006819268,0.006340854,0.005879635,0.005418694,0.004988392,0.004613391,0.004279747,0.00394397,0.003608818,0.00331523,0.003076604,0.002876104,0.002685257,0.002512667,0.002323567,0.0020986,0.001855148,0.001629047,0.001413481,0.001217487,0.001049172,0.000902583,0.000752359,0.000632316,0.000540071,0.000434125,0.000314544,0.000229989,0.000191046,0.00015721,0.000116558,6.93219E-05,4.17129E-05,6.90309E-05
